Test 3-12
case = 1
input = 10 4
20
6 8
1 2
9 7
5 9
2 3
7 4
5 8
1 8
9 6
3 5
3 9
4 2
2 9
1 7
6 3
10 3
2 10
6 10
7 8
3 1
case = 2
input = 20 5
50
6 10
3 16
9 8
18 19
20 18
14 5
19 13
12 17
14 18
11 20
13 15
8 12
2 19
5 17
16 8
18 11
1 15
12 1
16 13
8 5
7 8
4 18
14 6
13 4
15 14
1 3
17 15
14 13
4 15
20 14
20 17
8 13
14 2
14 8
9 6
20 5
4 8
3 7
1 20
4 11
1 8
14 10
16 10
12 6
11 2
8 6
14 9
15 6
16 14
16 20
case = 3
input = 20 5
50
18 3
8 7
8 2
15 7
12 3
18 5
15 3
10 6
17 13
6 18
3 19
6 17
19 8
9 6
10 2
8 9
15 19
1 10
1 16
1 15
4 1
12 10
14 10
5 20
15 17
4 14
1 3
2 1
14 15
1 13
4 15
8 12
14 18
19 16
19 6
16 11
1 8
4 5
1 12
4 2
13 11
14 11
7 10
2 14
1 18
10 17
13 4
3 4
11 6
9 19
case = 4
input = 20 6
50
4 18
16 5
17 18
18 9
12 7
14 4
2 9
16 18
12 19
10 11
17 13
16 20
7 2
6 18
6 8
17 14
3 19
8 11
7 9
20 13
16 14
4 17
12 16
19 4
16 8
1 3
12 11
3 15
10 7
1 17
6 16
2 10
17 8
19 15
8 13
3 10
19 2
9 15
1 12
13 5
11 17
2 1
19 11
11 7
20 9
6 10
1 6
10 9
16 11
11 20
case = 5
input = 20 8
50
17 20
15 13
11 6
9 10
4 15
17 1
5 13
18 20
15 19
6 13
6 3
17 18
3 19
13 12
7 16
8 7
5 20
7 15
4 12
15 5
2 12
12 16
6 5
14 8
18 13
1 4
4 19
7 6
2 19
1 16
1 14
2 18
16 5
6 1
19 10
9 11
15 17
14 17
1 9
15 3
3 16
4 16
3 2
13 14
18 11
6 19
1 3
20 1
5 12
12 20
case = 6
input = 30 3
60
7 23
7 30
26 29
6 9
2 24
1 5
30 8
20 23
20 9
4 26
1 13
21 25
3 12
16 9
22 21
3 4
27 20
8 3
6 14
3 17
3 2
1 7
10 19
28 13
2 10
8 18
6 30
15 6
29 16
14 10
28 20
25 13
26 10
20 7
19 23
14 3
21 27
17 18
1 15
7 26
24 22
9 7
3 11
18 4
7 3
18 2
22 7
10 1
6 11
5 10
21 8
10 4
3 5
15 28
26 21
14 27
14 22
8 11
19 26
12 17
case = 7
input = 30 10
60
30 29
1 14
28 24
25 15
20 15
29 18
21 17
7 25
27 4
14 7
9 11
27 12
21 30
8 23
25 14
16 22
29 11
13 25
21 23
1 25
14 2
1 5
10 9
3 27
22 5
7 5
16 24
16 3
15 7
17 2
2 8
12 15
29 28
26 13
17 6
5 6
1 21
23 6
14 21
5 10
6 26
12 1
21 5
20 14
10 13
20 30
14 30
12 10
26 22
13 6
9 18
6 28
9 4
21 16
21 19
14 26
6 11
5 25
27 2
13 20
case = 8
input = 30 10
60
2 19
9 29
13 21
19 28
9 28
28 26
14 20
4 22
6 22
5 27
7 12
18 27
9 3
13 8
12 19
29 8
12 1
28 18
18 23
8 18
23 17
1 18
24 25
11 13
14 6
15 13
23 29
18 14
29 10
8 4
14 7
29 5
16 15
12 14
3 4
5 22
5 18
29 16
9 6
18 9
26 14
18 22
3 16
12 28
6 11
18 24
29 28
13 28
29 21
5 19
20 13
22 2
4 28
29 2
29 30
13 24
1 4
23 5
15 1
6 12
case = 9
input = 30 11
60
13 29
1 15
4 7
17 20
1 2
11 16
20 12
29 27
25 21
24 23
10 6
9 3
9 4
1 25
14 24
21 11
21 29
27 14
1 8
30 1
9 5
1 20
2 26
18 25
7 11
2 29
3 23
1 13
2 28
15 14
9 18
27 19
21 23
15 29
9 8
14 9
3 11
5 6
20 24
1 17
4 18
27 23
11 14
13 12
17 22
18 27
27 11
1 23
14 23
8 23
8 30
17 13
29 5
22 9
12 27
15 19
7 30
13 14
21 15
9 10
